outage_id,run_id,outage_s,env,speed_cat,timing_cat,start_s,v0,mean_ax,max_ax,mean_gz,max_gz,err_v1,err_v2,diff,status
pair_Vta2__10s__0,pair_Vta2,10,Urban / Suburban,Low (<5 m/s),Late (>=120s),718.8,0.0,0.220667,0.4258,0.010812000000000002,0.0314,1.6239999844313282,1.6239999844313282,0.0,unchanged
pair_Vta2__30s__0,pair_Vta2,30,Urban / Suburban,Med (5-15 m/s),Late (>=120s),623.5,8.924,1.6504183333333333,5.9599,0.11011233333333333,0.5037,332.7413744976012,448.761045143837,116.0196706462358,regressed
pair_Vta2__60s__0,pair_Vta2,60,Urban / Suburban,High (>15 m/s),Early (<120s),58.8,18.008,1.3911005,6.0846,0.1918156666666667,1.0288,1144.6879632047298,1055.7618610407008,-88.92610216402909,improved
pair_Vta2__120s__0,pair_Vta2,120,Urban / Suburban,Med (5-15 m/s),Late (>=120s),412.4,10.671,1.0189279166666665,6.0405,0.11895316666666668,0.9639,1071.3894844154245,992.4909278200508,-78.89855659537363,improved
pair_Vta2__180s__0,pair_Vta2,180,Urban / Suburban,Med (5-15 m/s),Late (>=120s),477.6,7.695,1.1693376111111111,9.1767,0.11776172222222223,1.0093,1585.8654764131518,1481.3807691129534,-104.48470730019835,improved
pair_Vta20__10s__0,pair_Vta20,10,Urban / Suburban,Low (<5 m/s),Early (<120s),37.0,0.0,0.16158299999999998,0.9585,0.016547,0.0733,3.2185963503131103,3.244621167734579,0.026024817421468782,unchanged
pair_Vta20__30s__0,pair_Vta20,30,Urban / Suburban,Low (<5 m/s),Early (<120s),103.7,0.0,0.15220033333333335,1.3394,0.014662,0.1038,3.336531087703172,3.336531087703172,0.0,unchanged
pair_Vta20__60s__0,pair_Vta20,60,Urban / Suburban,Low (<5 m/s),Late (>=120s),138.3,0.0,0.17874266666666666,1.6288,0.0178585,0.1112,6.083193929601064,6.122029981241877,0.038836051640812386,unchanged
pair_Vta20__120s__0,pair_Vta20,120,Urban / Suburban,Low (<5 m/s),Early (<120s),82.5,0.0,0.15591458333333333,1.6288,0.015519416666666667,0.1112,5.778322065820203,5.820808147840436,0.04248608202023352,unchanged
pair_Vta20__180s__0,pair_Vta20,180,Urban / Suburban,Low (<5 m/s),Early (<120s),30.7,0.0,0.15138455555555558,1.6288,0.015243722222222223,0.1158,5.1717029861966815,5.181658830716206,0.009955844519524248,unchanged
pair_Vta21__10s__0,pair_Vta21,10,Urban / Suburban,High (>15 m/s),Early (<120s),87.2,18.91,1.0635210000000002,3.5777,0.060315,0.2907,122.97767991309334,76.25068408172287,-46.72699583137047,improved
pair_Vta21__30s__0,pair_Vta21,30,Urban / Suburban,Med (5-15 m/s),Late (>=120s),123.6,13.228,2.100507,10.6054,0.156901,0.912,731.1499918575591,749.1560074548305,18.006015597271357,regressed
pair_Vta21__60s__0,pair_Vta21,60,Urban / Suburban,High (>15 m/s),Early (<120s),89.5,18.91,1.5389176666666666,10.6054,0.11223766666666665,0.912,522.2882371902537,484.1316526527708,-38.15658453748284,improved
pair_Vta21__120s__0,pair_Vta21,120,Urban / Suburban,Med (5-15 m/s),Early (<120s),39.4,15.0,1.6418726666666665,10.6054,0.15031616666666667,1.1439,703.5440408791554,750.3614551595523,46.81741428039686,regressed
pair_Vta21__180s__0,pair_Vta21,180,Urban / Suburban,High (>15 m/s),Early (<120s),10.0,20.938,1.8400299444444443,20.8724,0.16757105555555557,1.9594,1275.2670844917593,1001.3564599785278,-273.9106245132315,improved
pair_Vta22__10s__0,pair_Vta22,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),101.6,9.16,1.0311040000000002,4.24,0.137446,0.4737,161.48454011375296,144.09164233590352,-17.39289777784944,improved
pair_Vta22__30s__0,pair_Vta22,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),65.9,9.96,1.3614853333333334,6.0134,0.12899000000000002,0.4711,361.6136670416387,360.5760970272319,-1.0375700144067537,improved
pair_Vta22__60s__0,pair_Vta22,60,Urban / Suburban,Med (5-15 m/s),Early (<120s),50.4,13.09,1.5130765000000002,8.026,0.16882033333333332,1.0173,574.6609273308277,649.5784390748049,74.91751174397723,regressed
pair_Vta22__120s__0,pair_Vta22,120,Urban / Suburban,Med (5-15 m/s),Early (<120s),15.7,9.5,1.836925083333333,15.5685,0.16846066666666665,1.0851,894.2860057938628,871.0237116227232,-23.262294171139615,improved
pair_Vta23__10s__0,pair_Vta23,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),52.9,10.72,1.247643,5.1919,0.21381400000000003,0.9705,94.56235999519038,74.31774407616477,-20.244615919025605,improved
pair_Vta23__30s__0,pair_Vta23,30,Urban / Suburban,Low (<5 m/s),Early (<120s),33.8,2.7,1.5780463333333334,7.0344,0.17923733333333333,0.9705,282.37963783177247,316.0820224754645,33.70238464369203,regressed
pair_Vta23__60s__0,pair_Vta23,60,Urban / Suburban,Med (5-15 m/s),Early (<120s),22.3,12.43,1.7692261666666669,7.8902,0.1704975,0.9705,605.1526030654142,403.0915304321719,-202.06107263324225,improved
pair_Vta24__10s__0,pair_Vta24,10,Urban / Suburban,Low (<5 m/s),Early (<120s),49.0,1.23,1.5272109999999994,4.7916,0.106402,0.5072,33.70272354536726,33.01496232353354,-0.6877612218337248,improved
pair_Vta24__30s__0,pair_Vta24,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),72.5,12.88,1.032498333333333,10.3796,0.07517433333333334,0.7222,209.39688677915055,224.068506226238,14.671619447087437,regressed
pair_Vta24__60s__0,pair_Vta24,60,Urban / Suburban,Low (<5 m/s),Early (<120s),40.1,1.23,1.1199085,10.3796,0.08599799999999999,0.7222,495.9859006198448,466.6605024522879,-29.325398167556898,improved
pair_Vta25__10s__0,pair_Vta25,10,Urban / Suburban,Low (<5 m/s),Early (<120s),18.1,0.0,0.20053799999999997,0.8588,0.023758999999999995,0.105,1.394288883925338,1.4029803073564588,0.008691423431120837,unchanged
